"leadtime","year","number","longitude","latitude","mx2t24","anomalies","scaled","celcius"
4,2001,23,5,51,295.48746,-0.328150624208141,304.371000075307,31.2210000753074
4,2001,24,5,51,296.92206,0.155759031770187,306.392913583477,33.2429135834767
4,2001,25,5,51,NA,NA,NA,NA
4,2001,26,5,51,NA,NA,NA,NA
4,2001,27,5,51,NA,NA,NA,NA
4,2001,28,5,51,NA,NA,NA,NA
4,2001,29,5,51,NA,NA,NA,NA
4,2001,30,5,51,NA,NA,NA,NA
4,2001,31,5,51,NA,NA,NA,NA
4,2001,32,5,51,NA,NA,NA,NA
4,2001,33,5,51,NA,NA,NA,NA
4,2001,34,5,51,NA,NA,NA,NA
4,2001,35,5,51,NA,NA,NA,NA
4,2001,36,5,51,NA,NA,NA,NA
4,2001,37,5,51,NA,NA,NA,NA
4,2001,38,5,51,NA,NA,NA,NA
4,2001,39,5,51,NA,NA,NA,NA
4,2001,40,5,51,NA,NA,NA,NA
4,2001,41,5,51,NA,NA,NA,NA
4,2001,42,5,51,NA,NA,NA,NA
4,2001,43,5,51,NA,NA,NA,NA
4,2001,44,5,51,NA,NA,NA,NA
4,2001,45,5,51,NA,NA,NA,NA
4,2001,46,5,51,NA,NA,NA,NA
4,2001,47,5,51,NA,NA,NA,NA
4,2001,48,5,51,NA,NA,NA,NA
4,2001,49,5,51,NA,NA,NA,NA
4,2001,50,5,51,NA,NA,NA,NA
4,2002,0,5,51,294.21277,-0.758120510851825,302.574462413431,29.4244624134307
4,2002,1,5,51,295.44177,-0.343562468751317,304.30660496295,31.1566049629498
4,2002,2,5,51,296.51175,0.0173560128489127,305.814626024898,32.664626024898
4,2002,3,5,51,294.1642,-0.774503817690568,302.506008252625,29.356008252625
4,2002,4,5,51,296.07703,-0.129280823653885,305.201935211939,32.0519352119388
4,2002,5,5,51,296.82742,0.12383570133538,306.259528741421,33.109528741421
4,2002,6,5,51,296.19293,-0.0901862125233302,305.365283724135,32.2152837241351
4,2002,7,5,51,296.54855,0.0297691421811228,305.866491643956,32.716491643956
4,2002,8,5,51,295.49817,-0.324537998796503,304.386094661723,31.2360946617235
4,2002,9,5,51,294.33655,-0.716367870940349,302.748916933186,29.5989169331861
4,2002,10,5,51,296.84152,0.128591818824078,306.279401166114,33.1294011661144
4,2002,11,5,51,298.28592,0.615807145113698,308.315126714142,35.1651267141415
4,2002,12,5,51,299.63083,1.06946317147772,310.210631869775,37.0606318697752
4,2002,13,5,51,297.26135,0.270206060333473,306.871106134841,33.7211061348407
4,2002,14,5,51,296.64334,0.0617430696105165,306.000087894785,32.8500878947851
4,2002,15,5,51,296.92847,0.157921210004419,306.401947785057,33.2519477850572
4,2002,16,5,51,296.7107,0.0844644933012154,306.09502452793,32.9450245279304
4,2002,17,5,51,293.77884,-0.904490869849919,301.962885020011,28.812885020011
4,2002,18,5,51,295.85065,-0.205641807844863,304.882877091223,31.7328770912226
4,2002,19,5,51,294.34595,-0.713197125947871,302.762165216315,29.6121652163151
4,2002,20,5,51,295.2812,-0.39772486486204,304.080298918054,30.9302989180545
4,2002,21,5,51,296.67468,0.0723144683407277,306.044258234494,32.8942582344938
4,2002,22,5,51,294.89267,-0.528781200173111,303.532707913364,30.382707913364
4,2002,23,5,51,296.07074,-0.131402524292455,305.193070137377,32.043070137377
4,2002,24,5,51,296.7953,0.113001198233446,306.214259076091,33.064259076091
4,2002,25,5,51,NA,NA,NA,NA
4,2002,26,5,51,NA,NA,NA,NA
4,2002,27,5,51,NA,NA,NA,NA
4,2002,28,5,51,NA,NA,NA,NA
4,2002,29,5,51,NA,NA,NA,NA
4,2002,30,5,51,NA,NA,NA,NA
4,2002,31,5,51,NA,NA,NA,NA
4,2002,32,5,51,NA,NA,NA,NA
4,2002,33,5,51,NA,NA,NA,NA
4,2002,34,5,51,NA,NA,NA,NA
4,2002,35,5,51,NA,NA,NA,NA
4,2002,36,5,51,NA,NA,NA,NA
4,2002,37,5,51,NA,NA,NA,NA
4,2002,38,5,51,NA,NA,NA,NA
4,2002,39,5,51,NA,NA,NA,NA
4,2002,40,5,51,NA,NA,NA,NA
4,2002,41,5,51,NA,NA,NA,NA
4,2002,42,5,51,NA,NA,NA,NA
4,2002,43,5,51,NA,NA,NA,NA
4,2002,44,5,51,NA,NA,NA,NA
4,2002,45,5,51,NA,NA,NA,NA
4,2002,46,5,51,NA,NA,NA,NA
4,2002,47,5,51,NA,NA,NA,NA
4,2002,48,5,51,NA,NA,NA,NA
4,2002,49,5,51,NA,NA,NA,NA
4,2002,50,5,51,NA,NA,NA,NA
4,2003,0,5,51,295.46622,-0.335315158637925,304.341064593003,31.1910645930033
4,2003,1,5,51,299.1402,0.903967148535682,309.519141960035,36.3691419600351
4,2003,2,5,51,296.17,-0.0979208064251639,305.332966369651,32.1829663696514
4,2003,3,5,51,293.13095,-1.12303278188938,301.049754152307,27.8997541523072
4,2003,4,5,51,294.24106,-0.748577917677672,302.614334108081,29.4643341080815
4,2003,5,5,51,294.43597,-0.682832182945528,302.889038668152,29.7390386681521
4,2003,6,5,51,295.0286,-0.482930203702233,303.724286543759,30.5742865437595
4,2003,7,5,51,294.115,-0.791099631906465,302.436666174971,29.2866661749714
4,2003,8,5,51,296.6186,0.0533979386409724,305.965219541103,32.8152195411032
4,2003,9,5,51,297.14468,0.230851717964178,306.706672390941,33.5566723909412
4,2003,10,5,51,295.60635,-0.28804744631934,304.538562669052,31.3885626690522
4,2003,11,5,51,296.44244,-0.00602317177110174,305.716941077699,32.5669410776993
4,2003,12,5,51,296.82605,0.123373582118389,306.257597874625,33.1075978746246
4,2003,13,5,51,295.6228,-0.282498642582531,304.561747164528,31.4117471645278
4,2003,14,5,51,297.95807,0.505218980668923,307.853057605224,34.7030576052239
4,2003,15,5,51,296.36652,-0.0316319972847454,305.609940050556,32.4599400505558
4,2003,16,5,51,295.294,-0.393407254659539,304.098339133379,30.948339133379
4,2003,17,5,51,295.69168,-0.259264502680255,304.658826073243,31.508826073243
4,2003,18,5,51,294.88144,-0.532569228499225,303.5168804432,30.3668804432003
4,2003,19,5,51,292.9634,-1.17954962481366,300.813610552493,27.6636105524927
4,2003,20,5,51,295.66898,-0.266921514523786,304.626832878878,31.4768328788783
4,2003,21,5,51,296.9427,0.162721178221741,306.422003430687,33.2720034306875
4,2003,22,5,51,294.10092,-0.795849003129239,302.416821938114,29.2668219381143
4,2003,23,5,51,294.99182,-0.4953365867685,303.672449112538,30.522449112538
4,2003,24,5,51,298.08255,0.547207739888347,308.028498699255,34.8784986992549
4,2003,25,5,51,NA,NA,NA,NA
4,2003,26,5,51,NA,NA,NA,NA
4,2003,27,5,51,NA,NA,NA,NA
4,2003,28,5,51,NA,NA,NA,NA
4,2003,29,5,51,NA,NA,NA,NA
4,2003,30,5,51,NA,NA,NA,NA
4,2003,31,5,51,NA,NA,NA,NA
4,2003,32,5,51,NA,NA,NA,NA
4,2003,33,5,51,NA,NA,NA,NA
4,2003,34,5,51,NA,NA,NA,NA
4,2003,35,5,51,NA,NA,NA,NA
4,2003,36,5,51,NA,NA,NA,NA
4,2003,37,5,51,NA,NA,NA,NA
4,2003,38,5,51,NA,NA,NA,NA
4,2003,39,5,51,NA,NA,NA,NA
4,2003,40,5,51,NA,NA,NA,NA
4,2003,41,5,51,NA,NA,NA,NA
4,2003,42,5,51,NA,NA,NA,NA
4,2003,43,5,51,NA,NA,NA,NA
4,2003,44,5,51,NA,NA,NA,NA
4,2003,45,5,51,NA,NA,NA,NA
4,2003,46,5,51,NA,NA,NA,NA
4,2003,47,5,51,NA,NA,NA,NA
4,2003,48,5,51,NA,NA,NA,NA
4,2003,49,5,51,NA,NA,NA,NA
4,2003,50,5,51,NA,NA,NA,NA
4,2004,0,5,51,297.9758,0.511199545425986,307.878046122232,34.728046122232
4,2004,1,5,51,296.49936,0.0131767010982066,305.797163660221,32.6471636602207
4,2004,2,5,51,297.4571,0.33623513823517,307.146994584042,33.996994584042
4,2004,3,5,51,294.69797,-0.594456099112876,303.258299325576,30.108299325576
4,2004,4,5,51,295.27136,-0.40104402770522,304.066430502524,30.9164305025238
4,2004,5,5,51,294.40582,-0.693002178852222,302.846545504712,29.6965455047119
4,2004,6,5,51,297.5571,0.369966467942278,307.287933766265,34.1379337662648
4,2004,7,5,51,295.4987,-0.324359222749065,304.386841639389,31.2368416393892
4,2004,8,5,51,295.80255,-0.22186657743398,304.815085344573,31.6650853445734
4,2004,9,5,51,298.05157,0.536757773945082,307.984835740602,34.8348357406023
4,2004,10,5,51,295.42447,-0.34939798879066,304.282222484425,31.1322224844252
4,2004,11,5,51,297.49225,0.348091700627218,307.196534706593,34.0465347065933
4,2004,12,5,51,294.74954,-0.577060852382906,303.330981661848,30.1809816618484
4,2004,13,5,51,297.35788,0.302766912899766,307.00715472744,33.8571547274404
4,2004,14,5,51,294.53314,-0.650055449869119,303.025989271518,29.8759892715181
4,2004,15,5,51,296.46423,0.00132688497208289,305.747651725506,32.5976517255057
4,2004,16,5,51,294.9706,-0.50249437493236,303.64254181807,30.4925418180703
4,2004,17,5,51,300.2709,1.28536729353407,311.112741293429,37.9627412934291
4,2004,18,5,51,297.52896,0.360474471762692,307.248273480387,34.0982734803873
4,2004,19,5,51,295.88458,-0.194196767675219,304.930697755751,31.7806977557509
4,2004,20,5,51,298.97256,0.847419947414665,309.282871514957,36.1328715149567
4,2004,21,5,51,295.39087,-0.360731715572245,304.234866919198,31.0848669191983
4,2004,22,5,51,297.8188,0.458241357785815,307.656771606142,34.5067716061421
4,2004,23,5,51,294.76593,-0.571532287443909,303.354081593815,30.2040815938147
4,2004,24,5,51,298.29062,0.617392517609938,308.321750855706,35.171750855706
4,2004,25,5,51,NA,NA,NA,NA
4,2004,26,5,51,NA,NA,NA,NA
4,2004,27,5,51,NA,NA,NA,NA
4,2004,28,5,51,NA,NA,NA,NA
4,2004,29,5,51,NA,NA,NA,NA
4,2004,30,5,51,NA,NA,NA,NA
4,2004,31,5,51,NA,NA,NA,NA
4,2004,32,5,51,NA,NA,NA,NA
4,2004,33,5,51,NA,NA,NA,NA
4,2004,34,5,51,NA,NA,NA,NA
4,2004,35,5,51,NA,NA,NA,NA
4,2004,36,5,51,NA,NA,NA,NA
4,2004,37,5,51,NA,NA,NA,NA
4,2004,38,5,51,NA,NA,NA,NA
4,2004,39,5,51,NA,NA,NA,NA
4,2004,40,5,51,NA,NA,NA,NA
4,2004,41,5,51,NA,NA,NA,NA
4,2004,42,5,51,NA,NA,NA,NA
4,2004,43,5,51,NA,NA,NA,NA
4,2004,44,5,51,NA,NA,NA,NA
4,2004,45,5,51,NA,NA,NA,NA
4,2004,46,5,51,NA,NA,NA,NA
4,2004,47,5,51,NA,NA,NA,NA
4,2004,48,5,51,NA,NA,NA,NA
4,2004,49,5,51,NA,NA,NA,NA
4,2004,50,5,51,NA,NA,NA,NA
4,2005,0,5,51,295.7875,-0.226943142554892,304.793873997649,31.6438739976489
4,2005,1,5,51,294.46304,-0.673701111993818,302.92719090478,29.7771909047798
4,2005,2,5,51,295.1515,-0.441474399492178,303.897500798711,30.7475007987114
4,2005,3,5,51,296.71262,0.085112134831606,306.097730560229,32.9477305602292
4,2005,4,5,51,294.69278,-0.596206755124666,303.250984582019,30.1009845820187
4,2005,5,5,51,296.8637,0.136073427753115,306.310661476731,33.1606614767314
4,2005,6,5,51,296.85522,0.133213010993944,306.298709834079,33.1487098340789
4,2005,7,5,51,294.1593,-0.776156652846223,302.499102232696,29.3491022326961
4,2005,8,5,51,296.1113,-0.117721096963239,305.250235069687,32.1002350696866
